,Lokacija:,Transakcija:,Vrsta nekretnine:,Ukupan broj soba:,Toaleti:,Ukupno katova:,Cijena:,Površina:,Okućnica:,Godina izgradnje:,Nekretnina (stanje):,Stil gradnje:,Razred energetske učinkovitosti:,Lift:,Pristup invalidima:,Nekretnina se prodaje/iznajmljuje:,Visina plafona:,Namjena poslovnog prostora:,P.P. sa izlogom:,Pristup kamionima/šleperima:,Struja:,Parking:,Parking (broj):,Natkriveni parking:,Povlašteni parking:,Garaža:,Pogled na more:,Pogled na:,Udaljenost od mora:,Ključ u agenciji:,naziv,opis,dodatne_oznake,Spavaće sobe:,Kupaonice:,Površina okućnice:,Površina balkona/lođe/terase:,Roštilj:,Dimnjak:,Bazen:,Vrt:,Vrsta kuće/vikendice:,Tlocrtna površina nekretnine:,Mogućnost zamjene:,Namjena terena:,Površina građevinskog dijela:,Površina negrađevinskog dijela:,Instalacije struje:,Instalacije vode:,Pod: parket/laminat/pločice:,Pripojene prostorije:,Fasada:,Krov:,Struja-zakupljena snaga:,Vanjska stolarija:,Unutarnja stolarija:,Kupaonica/ kuhinja:
http://www.remax-svijetnekretnina.com/gradevinsko-zemljiste/istra-jursici-gradevinska-zemljista-uz-glavnu-cestu,"Juršići, Svetvinčenat",Za prodaju,Građevinsko zemljište,,,,22.690 € (168.492 kn),670 ,,,,,,,,,,,,,,,,,,,ne,,više od 1km,,"Istra, Juršići, građevinska zemljišta na odličnoj lokaciji (ID: 300041091-27)","
                        Istra, Juršići, građevinska zemljišta na odličnoj lokaciji

Prodaju se građevinska zemljišta pravilnog oblika blizu svih potrebnih sadržaja. Parcele se nalaze na mirnoj lokaciji i u okolici se nalaze obiteljske kuće te kuće za odmor, a priključci struje i vode nalaze se  nedaleko od parcele. Osiguran pristupni put - asfaltirano.

670 - 22.690eur 
862 - 28.834eur
980 - 32.610eur
828 - 27.746eur
693 - 23.426eur
931 - 31.042eur
980 - 32.610eur

Ovo je nekretnina pogodna za izgradnju kuće za odmor ili boravak u mirnome mjestu u blizini svih potrebnih sadržaja za ugodan život.
","['Voda', 'Struja', 'nema otvoren pogled', 'Jug', 'Istok', 'Centar', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini trgovine', 'U blizini crkve', 'U blizini parka/šume']",,,,,,,,,,,,Stambena,670-980 ,00 ,,,,,,,,,,
http://www.remax-svijetnekretnina.com/gradevinsko-zemljiste/istra-orbanici-1000-gradevinsko-zemljiste-na-izuzetno-mirnoj-lokaciji,"Orbanići, Marčana",Za prodaju,Građevinsko zemljište,,,,31.250 € (232.057 kn),1.000 ,,,,,,,,,,,,,,,,,,,ne,prirodu,više od 1km,,"Istra, Orbanići, 1000 građevinsko zemljište na izuzetno mirnoj lokaciji (ID: 300041091-28)","
                        Istra, Orbanići, 1000 građevinsko zemljište na izuzetno mirnoj lokaciji

Prodaje se građevinsko zemljište veličine 1000  u Orbanićima. Parcela se nalazi na mirnoj lokaciji u prirodi, u okolici se nalaze obiteljske kuće, a priključci struje i vode nalaze se uz parcelu. Udaljenost do Vodnjana 8km a do Fažane 14 km. Osiguran pristupni put. Zemljište je pravilnog pravokutnog oblika.

Mir i tišina, upravo za odmor!                    ","['Voda', 'Struja', 'djelomično otvoren pogled', 'Jug', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini parka/šume']",,,,,,,,,,,,Stambena,1000 ,00 ,,,,,,,,,,
http://www.remax-svijetnekretnina.com/gradevinsko-zemljiste/istra-pula-monteserpo-gradevinsko-zemljiste-500,"Monteserpo - Komunal, Pula",Za prodaju,Građevinsko zemljište,,,,41.600 € (308.914 kn),500 ,,,,,,,,,,,,,,,,,,,ne,grad,više od 1km,,"Istra, Pula, Monteserpo građevinsko zemljište 500 (ID: 300041091-26)","
                        Istra, Pula, Monteserpo građevinsko zemljište 500

Prodaje se građevinsko zemljište veličine 500 . Parcela se nalazi na mirnoj lokaciji i u okolici se nalaze obiteljske kuće te kuće za odmor, a priključci struje i vode nalaze se uz parcelu. Udaljenost do centra Pule je samo 3km a do plaže 5 km. Osiguran pristupni put.

Na zemljištu postoje temelj za objekat i septička jama (bez građevinske dozvole).

Sa građevine koja bi bila sagrađena pružao bi se lijep pogled na grad.                    ","['Voda', 'Struja', 'djelomično otvoren pogled', 'Jug', 'Istok', 'U blizini centra', 'Predgrađe', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici']",,,,,,,,,,,,Stambena,500 ,00 ,,,,,,,,,,
http://www.remax-svijetnekretnina.com/stan/porec-stan-u-centru-grada2,Poreč,Za prodaju,Stan/Apartman,2,,4,134.500 € (998.773 kn),"38,35 ",nema okućnice,2020 god.,nedovršena,moderan,U izradi,da,da,namještaj po dogovoru,,,,,,da,,ne,ne,da,ne,,100-300m,Ne,POREČ-stan u centru grada (ID: 300391007-205),"
                        Prodaje se stan u samome centru predivnog, turističkog grada Poreča. Smješten je na prvome katu zgrade kojoj se planira dovršetak izgradnje 2020.godine.
Stan je površine 38,4  te se sastoji od dnevnog boravka s kuhinjom i blagavaonom, hodnika, spremišta, kupatila i spavaće sobe. Zgrada će imati sprovedeno podno grijanje, lift te mogućnost kupovine garažnog mjesta uz nadoplatu.
U ovoj fazi postoji mogućnost odabira izgleda interjera.                    ","['Kupaonica sa prozorom', 'Kuhinja sa prozorom', 'Spremište', 'Hodnik', 'Etažno podno', 'Struja', 'Voda', 'Struja', 'Kanalizacija', 'Internet', 'Kabelska ili satelitska TV', 'Parlafon', 'djelomično otvoren pogled', 'Zapad', 'Centar', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume']",1,1,,,nema,ima,nema,nema,,,,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/stan/porec-centar-novogradnja,Poreč,Za prodaju,Stan/Apartman,3,1,4,225.000 € (1.670.810 kn),"63,99 ",nema okućnice,2019 god.,nedovršena,moderan,U izradi,da,da,namještaj po dogovoru,,,,,,da,,ne,ne,da,ne,,100-300m,Ne,POREČ CENTAR-novogradnja (ID: 300391007-204),"
                        Prodaje se stan u samome centru predivnog, turističkog grada Poreča. Smješten je na prvome katu zgrade kojoj se planira dovršetak izgradnje 2020.godine.
Stan je površine 64  te se sastoji od dnevnog boravka s kuhinjom i blagavaonom, hodnika, wc-a, kupatila te  dvije spavaće sobe. Zgrada će imati sprovedeno podno grijanje, lift te mogućnost kupovine garažnog mjesta uz nadoplatu.
U ovoj fazi postoji mogućnost odabira izgleda interjera.                    ","['Kupaonica sa prozorom', 'Kuhinja sa prozorom', 'Hodnik', 'Etažno podno', 'Struja', 'Voda', 'Struja', 'Kanalizacija', 'Internet', 'Kabelska ili satelitska TV', 'Parlafon', 'djelomično otvoren pogled', 'Jug', 'Zapad', 'Centar', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume']",2,1,,,nema,ima,nema,nema,,,,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/apartman/istra-porec-trosoban-stan-sa-prekrasnom-terasom-i-pogledom-na-more,"Kukci, Poreč",Za prodaju,Stan/Apartman,4,,22,206.890 € (1.536.329 kn),"116,51 ",nema okućnice,2016 god.,dovršena,moderan,U izradi,ne,ne,nenamještena,,,,,,da,1,ne,,ne,da,,više od 1km,Da,"ISTRA, POREČ TROSOBAN STAN SA PREKRASNOM TERASOM I POGLEDOM NA MORE (ID: 300041059-290)","
                        Poreč, Kukci prodaje se trosoban stan u novogradnji. Nalazi se na drugom katu a sastoji se od: ulaza, tri spavaće sobe, dvije kupaonice, kuhinje i blagovaonice, dnevnog boravka, velike terase i parkirnog mjesta.
Zgrada se nalazi na mirnom mjestu, modernog je dizajna i kvalitetno je izgrađena.
Udaljenost od mora 2,5km, a od centra grada 4km.
","['Kupaonica sa prozorom', 'Kuhinja sa prozorom', 'Balkon/lođa/terasa', 'Klasično', 'Klima uređaj', 'Struja', 'otvoren pogled', 'Zapad', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici']",3,2,,,,ima,nema,nema,,,,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/kuca/istra-peruski-kuca-u-nizu-s-dvoristem-25-km-od-mora,"Peruški, Marčana",Za prodaju,Kuća/Vikendica,6,,2,130.000 € 115.000 € (853.970 kn),295 ,,1940 god.,dovršena,autohtoni,U izradi,ne,ne,namještena,,,,,,da,2,ne,da,ne,ne,,više od 1km,Ne,"ISTRA, PERUŠKI - Kuća u nizu s dvorištem 2.5 km od mora! (ID: 300041093-13)","
                        Prodaje se kamena obnovljena kuća u nizu u Peruškima. Kuća je ukupne površine 120 i raspodjeljena na 2 etaže. U prizemlju se nalaze kupaona, dnevni boravak i kuhinja. Na katu su hodnik te 2 velike sobe s klima uređajima. Kuća je useljiva te nisu potrebna ulaganja. Također u zatvorenom dvorištu od 185 se nalazi konoba od 47 u kojoj su kuhinja, veliki stol za druženja, ognjište i kauč. Ispred kuće su dostupna i 2 parking mjesta. U dvorištu je i cisterna za skupljane kišnice (može biti prenamjenjena u bazen) te septička jama. Struja i voda te vlasništvo i ostala dokumentacija su uredni a kuća je u funkciji turističkog najma te budući vlasnik preuzima i uhodan posao. 
Udaljenost od Pule je 20km a more se nalazi na manje od 2,5 km od kuće!                     ","['Kupaonica sa prozorom', 'Kuhinja sa prozorom', 'Spremište', 'Hodnik', 'Balkon/lođa/terasa', 'Klasično', 'Klima uređaj', 'Struja', 'Drva', 'Voda', 'Struja', 'djelomično otvoren pogled', 'Pogled - prekrasan!', 'Jug', 'Centar', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume', 'U blizini jezera/rijeke/potoka']",2,,185 ,,,ima,,,u nizu,110 ,ne,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/poljoprivredno-zemljiste/istra-medulin-poljoprivredna-parcela-u-blizini-medulina-i-liznjana,Medulin,Za prodaju,Negrađevinsko zemljište,,,,33.990 € (252.404 kn),3.399 ,,,,,,,,,,,,,,,,,,,ne,"Prirodu, Ližnjan, Medulin",više od 1km,,"Istra, Medulin, poljoprivredna parcela u blizini Medulina i Ližnjana (ID: 300041074-219)","
                        Prodaje se velika poljoprivredna parcela koja se nalazi na području između Medulina i Ližnjana.
Parcela je ograđena žičanom ogradom.Ima zasađeno oko 70 maslina, no u zadnjih nekoliko godina parcela nije bila održavana zbog preseljenja vlasnika u unutrašnjost Hrvatske.
Tko ima želju za bavljenjem maslinarstvom ili drugom vrstom poljoprivrede, ova parcela pruža dobru priliku za to.                     ","['bez infrastrukture', 'bez infrastrukture', 'otvoren pogled', 'Zapad', 'Istok', 'U blizini glavne ceste / autoputa', 'U blizini mora/plaže', 'U blizini parka/šume']",,,,,,,,,,,,Poljoprivredno,"0,0 ",3399 ,,,,,,,,,,
http://www.remax-svijetnekretnina.com/gradevinsko-zemljiste/kastelir-gradevinske-parcele-sa-pogledom-na-more,"Kaštelir, Kaštelir-Labinci",Za prodaju,Građevinsko zemljište,,,,169.950 € (1.262.019 kn),2.266 ,,,,,,,,,,,,,,,,,,,da,"Okolno zelenilo, kuće, more",više od 1km,,"KAŠTELIR, GRAĐEVINSKE PARCELE SA POGLEDOM NA MORE  (ID: 300391017-70)","
                        U prodaji su 3 lijepe građevinske parcele u blizini svih sadržaja, a opet na mirnom i intimnom području .Zemljišta su sa pristupnim putem, te pravilnog su oblika. Sa parcela se pruža i pogled na more. Udaljenost od Poreča i svih gradskih i turističkih sadržaja, kao i predivnih plaža svega je 10-ak km. 
Cijena po 1 je 75€
1. 758
2 .753
3. 755
Parcele su idealne za izgradnju kuće ili  više stambenih jedinica.

VRIJEDI POGLEDATI, VRLO INTERESANTNA LOKACIJA!!!                    ","['bez infrastrukture', 'Voda', 'Struja', 'Kanalizacija', 'djelomično otvoren pogled', 'Jug', 'Zapad', 'U blizini glavne ceste / autoputa', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini crkve', 'U blizini parka/šume']",,,,,,,,,,,,Građevinsko,2266 ,1 ,,,,,,,,,,
http://www.remax-svijetnekretnina.com/kuca/kuca-na-kraju-niza-sa-konobom-i-okucnicom,Vižinada,Za prodaju,Kuća/Vikendica,5,,3,218.000 € (1.618.829 kn),180 ,,1967 god.,dovršena,klasičan,U izradi,,,namještena,,,,,,da,3,ne,,ne,ne,prirodu,više od 1km,Ne,Kuća na kraju niza sa konobom i okućnicom (ID: 300391007-198),"
                        Prodaje se kuća na tri etaže površine 180. Smještena je na rubnom djelu mirnoga mjesta okružena prirodom. Zadnja je u nizu sa pripadajućom lijepo uređenom okućnicom površine 750. 
Na prvome se katu nalaze dnevni boravak s kuhinjom te izlazom na terasu s koje se prostire pogled na prirodu. Hodnikom u kojem se nalazi kupaonica i stubište penjemo se na 2. kat gdje su smještene tri spavaće sobe te još jedno veće kupatilo. Najveća spavaća soba također ima izlaz na terasu površine 10. U prizemlju je smještena rustikalno uređena konoba sa šankom, kaminom i kupatilom.
U sklopu kuće se prodaje i dodatni objekt na susjednoj parceli, kamena kućica površine 70 koja bi se trebala adaptirati.
Postoji i mogućnost kupovine dodatnog poljoprivrednog zemljišta udaljenog 500m od nekretine, površine 4 000 ili 10 000 po cijeni od 3eura po .
","['Hodnik', 'Balkon/lođa/terasa', 'Klima uređaj', 'Struja', 'Drva', 'otvoren pogled', 'Jug', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini parka/šume']",3,3,750 ,10+10 ,,ima,nema,,u nizu,60 ,,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/stan/istra-umag-moderan-stan-sa-velikom-okucnicom,Umag,Za prodaju,Stan/Apartman,4,,2,265.000 € (1.967.843 kn),"88,76 ",u vlasništvu,2009 god.,dovršena,moderan,U izradi,ne,da,namještena,,,,,,da,2,ne,da,ne,ne,na zelene površine,300-500m,Ne,"Istra, Umag, moderni stan sa velikom okućnicom (ID: 300441010-8)","
                        Prodaje se moderni stan u jednom od najljepših dijelova grada Umaga svega 300 m udaljen od mora, a u blizini svih važnih sadržaja.
Stan se nalazi u prizemlju nove zgrade te se sastoji od kuhinje,velikog otvorenog dnevnog boravka,kupaone,3 spavaće sobe te 2 natkrivene terase sa kojih se izlazi u privatno ograđeno dvorište.
Natkrivene terase pružaju mogućnost uživanja na otvorenom od proljeća pa sve do kasne jeseni,a ograđeno dvorište svu potrebnu privatnost.
Stanu pripadaju i 2 parkirna mjesta te ga čini pogodnim kao za obiteljski život tako i za bavljenjem turizmom.
","['Kuhinja sa prozorom', 'Hodnik', 'Balkon/lođa/terasa', 'Struja', 'Voda', 'Grijanje', 'Plin', 'Pričuva', 'Komunalije', 'Klima uređaj', 'Struja', 'Voda', 'Struja', 'djelomično otvoren pogled', 'Jug', 'Zapad', 'U blizini centra', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini trgovine', 'U blizini mora/plaže', 'U blizini parka/šume']",3,1,111 ,"7,06 i 6,13 ",nema,ima,nema,vlastiti,,,,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/gradevinsko-zemljiste/visnjan-gradevinska-parcela-u-mirnom-okruzenju,Višnjan,Za prodaju,Građevinsko zemljište,,,,154.200 € (1.145.062 kn),1.028 ,,,,,,,,,,,,,,,,,,,ne,,više od 1km,,"Višnjan, građevinska parcela u mirnom okruženju (ID: 300391008-255)","
                        Samo 2 km udaljeno od Višnjana, 12 km od Poreča, prodaje se građevinska parcela.
Parcela ima 1028, te je pravilnog oblika.
Nalazi se na početku mjesta u kojem ima mnogo kuća za odmor.
Idelana nekretnina za iozgradnju kuće za turističko iznajmljivanje.
Sva potrebna infratruktura nalazi se do terena.                    ","['bez infrastrukture', 'Voda', 'Struja', 'otvoren pogled', 'Sjever', 'Istok', 'U mirnoj ulici']",,,,,,,,,,,,građevinsko,1028 ,1 ,,,,,,,,,,
http://www.remax-svijetnekretnina.com/kuca/medulin-kuca-sa-pet-apartmana-1km-od-mora,Medulin,Za prodaju,Kuća/Vikendica,10,,3,350.000 € (2.599.038 kn),217 ,,1980 god.,dovršena,klasičan,U izradi,,uz manju adaptaciju,namještena,,,,,,da,3,ne,,ne,da,iz drugog kata pogled na more,500-1000m,Ne,"ISTRA, MEDULIN, KUĆA SA PET APARTMANA -1km OD MORA (ID: 300041091-25)","
                        ISTRA, MEDULIN, KUĆA SA PET APARTMANA -1km OD MORA

Ova lijepa i funkcionalna kuća je samostojeća i na cca 1km udaljena od mora u mirnom okruženju i sastoji se od 5 apartmana - POGLED NA MORE IZ DRUGOG KATA.

Prilikom gradnje su korišteni kvalitetni materijali pa je kuća dobro izolirana. Cijeli objekat se nalazi na parceli veličine 438  i raspolaže sa dvorištem sa tri parkirna mjesta i  roštiljem . 
Kuća se sastoji od četiri dvosobna komforna apartmana  sa odvojenim ulazima i petim koji trenutno funkcionira kao atelje.
Hlađenje je uređeno sa 4 klima uređaja.

Kuća je kategorizirana sa 3 zvijezdice te se prodaje potpuno namještena i opremljena. 

Super kuća na lijepoj lokaciji za život višečlane obitelji sa mogućnošću bavljenja turističkom iznajmljivačkom djelatnošću.                    ","['Struja', 'Voda', 'Komunalije', 'Klima uređaj', 'Struja', 'Drva', 'djelomično otvoren pogled', 'Istok', 'U blizini centra', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini trgovine', 'U blizini crkve']",5,5,348 ,3 x 12 ,,ima,nema,,samostojeća,92 ,,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/stan/istra-umag-novogradnja-sa-panoramskim-pogledom,Umag,Za prodaju,Stan/Apartman,3,,3,195.500 € (1.451.748 kn),85 ,nema okućnice,2019 god.,dovršena,moderan,A+,ne,ne,nenamještena,,,,,,da,2,da,,ne,da,,300-500m,Ne,"Istra, Umag, novogradnja sa panoramskim pogledom (ID: 300441007-100)","
                        Moderna stambena zgrada sa 6 stambenih jedinica vrlo atraktivne lokacije svega 10-tak minuta hoda od mora, uređenih plaža te šetnica. Udaljenost od centra grada je 4km. Lokacija je mirna a zgrada sa svojom moderno-autohtonom kombinacijom prekrasno se stapa sa okolinom. Stan ima 85m te 2 spavaće sobe uz koje je moguće dobiti i dodatnu. U ponudi je i podrum koji nudi pregršt mogućnosti poput ostave, fitnessa ili pak welness oaze.Nekretnini pripadaju i 2 parkirna mjesta, natkrivena. Kupac ne plaća porez na promet nekretnina. Korišteni su visoko kvalitetni materijali, te je zgrada vrhunske kvalitete. Nekretnina idealna za življenje nadomak svih bitnih sadržaja, a na mirnoj poziciji ili pak za uspješno iznajmljivanje i odmor.                    ","['Kupaonica sa prozorom', 'Kuhinja sa prozorom', 'Spremište', 'Hodnik', 'Balkon/lođa/terasa', 'Etažno podno', 'Klima uređaj', 'Struja', 'otvoren pogled', 'Jug', 'Istok', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume']",2,,,,,ima,nema,nema,,,,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/gradevinsko-zemljiste/svetvincenat-cukrici-7513-gradevinskog-zemljista,"Cukrići, Svetvinčenat",Za prodaju,Građevinsko zemljište,,,,240.000 € (1.782.198 kn),7.513 ,,,,,,,,,,,,,,,,,,,ne,cukrići,više od 1km,,"Svetvinčenat, Cukrići, 7513 građevinskog zemljišta (ID: 300041087-86)","
                        Prodaje se 7513 građevinskog zemljišta (uređeni dio) u mjestu Cukrići. Pravilnog je oblika, te ima priključak vode, o ostala infrastruktura je uz samo zemljište. Idealno je za gradnju više kuća za odmor.                    ","['Voda', 'Voda', 'Struja', 'otvoren pogled', 'Sjever', 'Jug', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini parka/šume']",,,,,,,,,,,,Stambena,7513 ,00 ,,,,,,,,,,
http://www.remax-svijetnekretnina.com/poljoprivredno-zemljiste/svetvincenat-cukrici-6269-poljoprivrednog-zemljista,"Cukrići, Svetvinčenat",Za prodaju,Negrađevinsko zemljište,,,,69.000 € (512.382 kn),6.269 ,,,,,,,,,,,,,,,,,,,ne,cukriće,više od 1km,,"Svetvinčenat, Cukrići, 6269 poljoprivrednog zemljišta (ID: 300041087-87)","
                        Prodaje se 6269 poljoprivrednog zemljišta u mjestu Cukrići. Zemljište je atraktivno jer se nalazi uz građevinsko područje, a infrastruktura je u neposrednoj blizini.                    ","['Voda', 'Struja', 'djelomično otvoren pogled', 'Zapad', 'Istok', 'U mirnoj ulici']",,,,,,,,,,,,poljoprivredna,00 ,6269 ,,,,,,,,,,
http://www.remax-svijetnekretnina.com/stan/istra-umag-moderni-stan-sa-panoramskim-pogledom-na-more,Umag,Za prodaju,Stan/Apartman,3,,3,195.500 € (1.451.748 kn),85 ,nema okućnice,2019 god.,dovršena,moderan,A+,ne,ne,nenamještena,,,,,,da,2,da,,ne,da,,300-500m,Ne,"Istra, Umag moderni stan sa panoramskim pogledom na more (ID: 300441007-99)","
                        Stan na 2.katu stambene zgrade sa 6 stambenih jedinica građen visokokvalitetnim materijalima, vrhunske kvalitete. Zgrada je moderna sa ravnom krovnom konstrukcijom i sa prirodnim materijalima poput kamena te tako čini idealan spoj moderno autohtone kombinacije. Lokacija nekretnine je vrhunska udaljenosti 4 km od centra grada, te 10-tak minuta hoda od mora, uređenih šetnica i plaža. Stan je kvadrature 85m sa dnevnim boravkom, kuhinjom, blagavaonicom, 2 spavaće sobe te prostranom terasom sa koje se pruža panoramski pogled. Nekretnini pripadaju 2 natkrivena parkirna mjesta, te predviđeni završetak zgrade je u jesen 2019. Kupac ne snosi troškove poreza na promet nekretnina.                    ","['Kupaonica sa prozorom', 'Kuhinja sa prozorom', 'Spremište', 'Hodnik', 'Balkon/lođa/terasa', 'Etažno podno', 'Klima uređaj', 'Struja', 'otvoren pogled', 'Jug', 'Istok', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume']",2,,,,,ima,nema,nema,,,ne,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/stan/istra-umag-ekskluzivni-stan-na-prvom-katu,Umag,Za prodaju,Stan/Apartman,3,,3,185.000 € (1.373.777 kn),85 ,nema okućnice,2019 god.,dovršena,moderan,A+,ne,ne,nenamještena,,,,,,da,2,da,,ne,da,,300-500m,Ne,"Istra, Umag ekskluzivni stan na prvom katu (ID: 300441007-98)","
                        Novogradnja, stan na 1.katu stambene zgrade sa svega 6 stambenih jedinica. Stan je veličine 85m koncepiran od prostranoga dnevnoga boravka sa kuhinjom, blagavaonicom, 2 spavaće sobe, kupaonice te terase. Moguće je dobiti još jednu spavaću sobu budući da prostor za istu postoji. Nekretnina nudi komfor, puna je prirodnoga svijetla građena kvalitetno i vrhunskim materijalima, lokalnim poput kamena te tako nudi autentični štih u spoju sa modernim. Stan je udaljen svega 10-tak minuta hoda od prekrsnih plaža, restorana i šetnica te 4 km od centra grada. Kupac ne plaća porez na promet nekretnina.                    ","['Kupaonica sa prozorom', 'Kuhinja sa prozorom', 'Spremište', 'Balkon/lođa/terasa', 'Etažno podno', 'Klima uređaj', 'Struja', 'otvoren pogled', 'Jug', 'Istok', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume']",2,,,,,ima,nema,nema,,,ne,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/stan/istra-umag-stan-novogradnja,Umag,Za prodaju,Stan/Apartman,3,,3,185.000 € (1.373.777 kn),85 ,nema okućnice,2019 god.,dovršena,moderan,A+,ne,ne,nenamještena,,,,,,da,2,da,,ne,da,,300-500m,Ne,"Istra, Umag stan, novogradnja (ID: 300441007-97)","
                        Moderna stambena zgrada sa 6 stambenih jedinica i ravne krovne konstrukcije. Svim stanovima predviđena je ista kvadratura od 85m. Zgrada je 10-ak minuta hoda od mora te 4 km od centra grada. Pozornost je usmjerena na specifičnost lokacije pa se koriste lokalni materijali, kamen kako bi zgrada nosila autentičnost okoline. Korišteni su visokokvalitetni materijali, te je zgrada vrhunske kvalitete. Grijanje je podno na struju te klima jedinice.  Svakom stanu pripadaju 2 natkrivena parkirna mjesta. Zgrada se nalazi na mirnoj poziciji, a nadomak mora. Uz stanove na ponudu je i podrum- drvarnica koja se može koristiti kao dodatna ostava ili pak fitness ili sauna za dodatni komoditet. Kupac ne pplaća porez na promet nekretnina.                    ","['Kupaonica sa prozorom', 'Kuhinja sa prozorom', 'Spremište', 'Hodnik', 'Balkon/lođa/terasa', 'Etažno podno', 'Klima uređaj', 'Struja', 'otvoren pogled', 'Jug', 'Istok', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume']",2,,,,,ima,nema,nema,,,ne,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/gradevinsko-zemljiste/liznjan-gradevinsko-1079-svega-400m-od-mora,Ližnjan,Za prodaju,Građevinsko zemljište,,,,145.000 € (1.076.744 kn),1.079 ,,,,,,,,,,,,,,,,,,,da,ližnjan,300-500m,,"Ližnjan, građevinsko, 1079, svega 400m od mora (ID: 300041087-85)","
                        Prodaje se 1079 građevinskog zemljišta stambene namjene. Nalazi se na odličnoj lokaciji, pravilnog je oblika i svega 400m udaljeno od mora. U blizini je prometnice što osigurava nesmetan pristup zemljištu i ishođenju dozvola, a sva potrebna infrastruktura je u neposrednoj blizini.                     ","['bez infrastrukture', 'Voda', 'Struja', 'Telefon', 'djelomično otvoren pogled', 'Sjever', 'Jug', 'Zapad', 'Istok', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici']",,,,,,,,,,,,stambena,1079 ,00 ,,,,,,,,,,
